id,tanggal,co2,no2,co,benzene,toluene,pm25,humidity,temperature,created_at,updated_at,new_id,CO2i,NO2i,COi,Benzenei,Toluenei,PM25i,Checks,AQI,AQI_Range
1718353318,2024-06-14 08:21:58,410.29,23.12,0.53,0.0,2.58,46.09,70.4,32.1,2024-06-14 08:21:58,2024-06-14 08:21:58,AIR001,20.5145,28.9,6.0227272727272725,0.0,12.9,76.81666666666668,5,77.0,Moderate
1718353328,2024-06-14 08:22:08,409.98,22.17,0.55,0.0,2.49,48.58,70.2,32.1,2024-06-14 08:22:08,2024-06-14 08:22:08,AIR001,20.499,27.7125,6.25,0.0,12.450000000000001,80.96666666666667,5,81.0,Moderate
1718353338,2024-06-14 08:22:18,405.24,9.14,0.29,0.0,1.15,18.7,70.0,32.1,2024-06-14 08:22:18,2024-06-14 08:22:18,AIR001,20.262,11.425,3.295454545454545,0.0,5.749999999999999,31.166666666666668,5,31.0,Good
1718353353,2024-06-14 08:22:33,406.01,11.03,0.26,0.0,1.35,9.57,70.0,32.1,2024-06-14 08:22:33,2024-06-14 08:22:33,AIR001,20.3005,13.7875,2.954545454545454,0.0,6.75,15.95,5,20.0,Good
1718353363,2024-06-14 08:22:43,406.01,11.03,0.23,0.0,1.35,14.55,70.5,32.2,2024-06-14 08:22:43,2024-06-14 08:22:43,AIR001,20.3005,13.7875,2.6136363636363633,0.0,6.75,24.25,5,24.0,Good
1718353373,2024-06-14 08:22:53,406.05,11.13,0.24,0.0,1.36,12.89,71.0,32.3,2024-06-14 08:22:53,2024-06-14 08:22:53,AIR001,20.3025,13.9125,2.727272727272727,0.0,6.8,21.483333333333334,5,21.0,Good
1718353383,2024-06-14 08:23:03,404.84,8.19,0.28,0.0,1.04,16.21,71.0,32.5,2024-06-14 08:23:03,2024-06-14 08:23:03,AIR001,20.242,10.2375,3.181818181818182,0.0,5.2,27.016666666666666,5,27.0,Good
1718353398,2024-06-14 08:23:18,404.75,7.97,0.28,0.0,1.02,22.85,69.8,32.6,2024-06-14 08:23:18,2024-06-14 08:23:18,AIR001,20.2375,9.9625,3.181818181818182,0.0,5.1,38.083333333333336,5,38.0,Good
1718353408,2024-06-14 08:23:28,404.26,6.87,0.28,0.0,0.89,16.21,69.3,32.6,2024-06-14 08:23:28,2024-06-14 08:23:28,AIR001,20.213,8.5875,3.181818181818182,0.0,4.45,27.016666666666666,5,27.0,Good
1718353418,2024-06-14 08:23:38,404.12,6.56,0.29,0.0,0.86,21.19,70.7,32.8,2024-06-14 08:23:38,2024-06-14 08:23:38,AIR001,20.206,8.2,3.295454545454545,0.0,4.3,35.31666666666667,5,35.0,Good
1718353433,2024-06-14 08:23:53,404.18,6.68,0.28,0.0,0.87,32.81,69.6,32.9,2024-06-14 08:23:53,2024-06-14 08:23:53,AIR001,20.209,8.35,3.181818181818182,0.0,4.35,54.68333333333334,5,55.0,Moderate
