"id","tanggal","co2","no2","co","benzene","toluene","pm25","humidity","temperature","created_at","updated_at","new_id"
1718353318,"2024-06-14 08:21:58",410.29,23.12,0.53,0.00,2.58,46.09,70.40,32.10,"2024-06-14 08:21:58","2024-06-14 08:21:58",AIR001
1718353328,"2024-06-14 08:22:08",409.98,22.17,0.55,0.00,2.49,48.58,70.20,32.10,"2024-06-14 08:22:08","2024-06-14 08:22:08",AIR001
1718353338,"2024-06-14 08:22:18",405.24,9.14,0.29,0.00,1.15,18.70,70.00,32.10,"2024-06-14 08:22:18","2024-06-14 08:22:18",AIR001
1718353353,"2024-06-14 08:22:33",406.01,11.03,0.26,0.00,1.35,9.57,70.00,32.10,"2024-06-14 08:22:33","2024-06-14 08:22:33",AIR001
1718353363,"2024-06-14 08:22:43",406.01,11.03,0.23,0.00,1.35,14.55,70.50,32.20,"2024-06-14 08:22:43","2024-06-14 08:22:43",AIR001
1718353373,"2024-06-14 08:22:53",406.05,11.13,0.24,0.00,1.36,12.89,71.00,32.30,"2024-06-14 08:22:53","2024-06-14 08:22:53",AIR001
1718353383,"2024-06-14 08:23:03",404.84,8.19,0.28,0.00,1.04,16.21,71.00,32.50,"2024-06-14 08:23:03","2024-06-14 08:23:03",AIR001
1718353398,"2024-06-14 08:23:18",404.75,7.97,0.28,0.00,1.02,22.85,69.80,32.60,"2024-06-14 08:23:18","2024-06-14 08:23:18",AIR001
1718353408,"2024-06-14 08:23:28",404.26,6.87,0.28,0.00,0.89,16.21,69.30,32.60,"2024-06-14 08:23:28","2024-06-14 08:23:28",AIR001
1718353418,"2024-06-14 08:23:38",404.12,6.56,0.29,0.00,0.86,21.19,70.70,32.80,"2024-06-14 08:23:38","2024-06-14 08:23:38",AIR001
1718353433,"2024-06-14 08:23:53",404.18,6.68,0.28,0.00,0.87,32.81,69.60,32.90,"2024-06-14 08:23:53","2024-06-14 08:23:53",AIR001
1718353443,"2024-06-14 08:24:03",404.35,7.07,0.28,0.00,0.92,13.72,67.60,33.10,"2024-06-14 08:24:03","2024-06-14 08:24:03",AIR001
1718353453,"2024-06-14 08:24:13",404.59,7.61,0.29,0.00,0.98,24.51,67.90,33.30,"2024-06-14 08:24:13","2024-06-14 08:24:13",AIR001
1718353463,"2024-06-14 08:24:23",404.65,7.75,0.29,0.00,0.99,24.51,68.10,33.40,"2024-06-14 08:24:23","2024-06-14 08:24:23",AIR001
1718353478,"2024-06-14 08:24:38",404.44,7.27,0.28,0.00,0.94,24.51,67.90,33.60,"2024-06-14 08:24:38","2024-06-14 08:24:38",AIR001
1718353488,"2024-06-14 08:24:48",404.01,6.32,0.25,0.00,0.83,17.04,67.60,33.70,"2024-06-14 08:24:48","2024-06-14 08:24:48",AIR001
1718353498,"2024-06-14 08:24:58",409.62,21.08,0.77,0.00,2.38,56.05,66.70,33.70,"2024-06-14 08:24:58","2024-06-14 08:24:58",AIR001
1718353508,"2024-06-14 08:25:08",406.53,12.37,0.58,0.00,1.49,51.90,66.10,33.60,"2024-06-14 08:25:08","2024-06-14 08:25:08",AIR001
1718353523,"2024-06-14 08:25:23",405.42,9.56,0.58,0.00,1.19,52.73,66.20,33.50,"2024-06-14 08:25:23","2024-06-14 08:25:23",AIR001
1718353533,"2024-06-14 08:25:33",405.67,10.18,0.60,0.00,1.26,47.75,66.30,33.50,"2024-06-14 08:25:33","2024-06-14 08:25:33",AIR001
1718353543,"2024-06-14 08:25:43",405.67,10.18,0.67,0.00,1.26,57.71,65.40,33.50,"2024-06-14 08:25:43","2024-06-14 08:25:43",AIR001
1718353558,"2024-06-14 08:25:58",405.24,9.14,0.59,0.00,1.15,44.43,65.20,33.50,"2024-06-14 08:25:58","2024-06-14 08:25:58",AIR001
1718353568,"2024-06-14 08:26:08",405.10,8.81,0.58,0.00,1.11,52.73,65.50,33.50,"2024-06-14 08:26:08","2024-06-14 08:26:08",AIR001
